date,price,shares,investment,position,portfolio_value,type
2022-09-07 04:00:00+00:00,7.39,135,997.65,2876,21253.64,buy
2022-09-14 04:00:00+00:00,7.63,131,999.53,3007,22943.41,buy
2022-09-21 04:00:00+00:00,7.69,130,999.7,3137,24123.530000000002,buy
2022-09-28 04:00:00+00:00,7.94,125,992.5,3262,25900.280000000002,buy
2022-10-05 04:00:00+00:00,8.42,118,993.56,3380,28459.6,buy
2022-10-12 04:00:00+00:00,8.07,123,992.61,3503,28269.210000000003,buy
2022-10-19 04:00:00+00:00,7.91,126,996.66,3629,28705.39,buy
2022-10-26 04:00:00+00:00,8.57,116,994.12,3745,32094.65,buy
2022-11-02 04:00:00+00:00,8.22,121,994.6200000000001,3866,31778.520000000004,buy
2022-11-09 05:00:00+00:00,6.98,143,998.1400000000001,4009,27982.820000000003,buy
2022-11-16 05:00:00+00:00,8.06,124,999.44,4133,33311.98,buy
2022-11-23 05:00:00+00:00,7.37,135,994.95,4268,31455.16,buy
2022-11-30 05:00:00+00:00,7.5,133,997.5,4401,33007.5,buy
2022-12-07 05:00:00+00:00,7.07,141,996.87,4542,32111.940000000002,buy
2022-12-14 05:00:00+00:00,7.35,136,999.5999999999999,4678,34383.299999999996,buy
2022-12-21 05:00:00+00:00,6.5,153,994.5,4831,31401.5,buy
2022-12-28 05:00:00+00:00,6.07,164,995.48,4995,30319.65,buy
2023-01-04 05:00:00+00:00,6.58,151,993.58,5146,33860.68,buy
2023-01-11 05:00:00+00:00,6.98,143,998.1400000000001,5289,36917.22,buy
2023-01-18 05:00:00+00:00,6.9,144,993.6,5433,37487.700000000004,buy
2023-01-25 05:00:00+00:00,7.22,138,996.36,5571,40222.619999999995,buy
2023-02-01 05:00:00+00:00,8.2,121,992.1999999999999,5692,46674.399999999994,buy
2023-02-08 05:00:00+00:00,8.22,121,994.6200000000001,5813,47782.86,buy
2023-02-15 05:00:00+00:00,10.11,98,990.78,5911,59760.21,buy
2023-02-22 05:00:00+00:00,8.36,119,994.8399999999999,6030,50410.799999999996,buy
2023-03-01 05:00:00+00:00,7.69,130,999.7,6160,47370.4,buy
2023-03-08 05:00:00+00:00,8.13,123,999.9900000000001,6283,51080.79000000001,buy
2023-03-16 04:00:00+00:00,7.98,125,997.5,6408,51135.840000000004,buy
2023-03-23 04:00:00+00:00,8.33,120,999.6,6528,54378.24,buy
2023-03-30 04:00:00+00:00,8.15,122,994.3000000000001,6650,54197.5,buy
2023-04-06 04:00:00+00:00,8.09,123,995.0699999999999,6773,54793.57,buy
2023-04-13 04:00:00+00:00,8.58,116,995.28,6889,59107.62,buy
2023-04-20 04:00:00+00:00,8.15,122,994.3000000000001,7011,57139.65,buy
2023-04-27 04:00:00+00:00,7.82,127,993.14,7138,55819.16,buy
2023-05-04 04:00:00+00:00,7.38,135,996.3,7273,53674.74,buy
2023-05-11 04:00:00+00:00,9.88,101,997.8800000000001,7374,72855.12000000001,buy
2023-05-18 04:00:00+00:00,11.74,85,997.9,7459,87568.66,buy
2023-05-25 04:00:00+00:00,12.84,77,988.68,7536,96762.24,buy
2023-06-01 04:00:00+00:00,14.54,68,988.7199999999999,7604,110562.15999999999,buy
2023-06-08 04:00:00+00:00,15.19,65,987.35,7669,116492.11,buy
2023-06-15 04:00:00+00:00,16.6,60,996.0000000000001,7729,128301.40000000001,buy
2023-06-22 04:00:00+00:00,14.05,71,997.5500000000001,7800,109590.0,buy
2023-06-29 04:00:00+00:00,15.2,65,988.0,7865,119548.0,buy
2023-07-06 04:00:00+00:00,15.13,66,998.58,7931,119996.03000000001,buy
2023-07-13 04:00:00+00:00,16.74,59,987.6599999999999,7990,133752.59999999998,buy
2023-07-20 04:00:00+00:00,17.13,58,993.54,8048,137862.24,buy
2023-07-27 04:00:00+00:00,16.15,61,985.1499999999999,8109,130960.34999999999,buy
2023-08-03 04:00:00+00:00,18.71,53,991.63,8162,152711.02000000002,buy
2023-08-10 04:00:00+00:00,15.41,64,986.24,8226,126762.66,buy
2023-08-17 04:00:00+00:00,14.15,70,990.5,8296,117388.40000000001,buy
2023-08-24 04:00:00+00:00,14.14,70,989.8000000000001,8366,118295.24,buy
2023-08-31 04:00:00+00:00,14.98,66,988.6800000000001,8432,126311.36,buy
2023-09-07 04:00:00+00:00,15.21,65,988.6500000000001,8497,129239.37000000001,buy
2023-09-14 04:00:00+00:00,15.83,63,997.29,8560,135504.8,buy
2023-09-21 04:00:00+00:00,14.0,71,994.0,8631,120834.0,buy
2023-09-28 04:00:00+00:00,15.77,63,993.51,8694,137104.38,buy
2023-10-05 04:00:00+00:00,15.81,63,996.0300000000001,8757,138448.17,buy
2023-10-12 04:00:00+00:00,17.94,55,986.7,8812,158087.28,buy
2023-10-19 04:00:00+00:00,17.06,58,989.4799999999999,8870,151322.19999999998,buy
2023-10-26 04:00:00+00:00,15.29,65,993.8499999999999,8935,136616.15,buy
2023-11-02 04:00:00+00:00,17.97,55,988.3499999999999,8990,161550.3,buy
2023-11-09 05:00:00+00:00,18.27,54,986.5799999999999,9044,165233.88,buy
2023-11-16 05:00:00+00:00,19.77,50,988.5,9094,179788.38,buy
2023-11-24 05:00:00+00:00,19.2,52,998.4,9146,175603.19999999998,buy
2023-12-01 05:00:00+00:00,20.27,49,993.23,9195,186382.65,buy
2023-12-08 05:00:00+00:00,17.77,56,995.12,9251,164390.27,buy
2023-12-15 05:00:00+00:00,18.2,54,982.8,9305,169351.0,buy
2023-12-22 05:00:00+00:00,17.41,57,992.37,9362,162992.42,buy
2023-12-29 05:00:00+00:00,17.17,58,995.8600000000001,9420,161741.40000000002,buy
2024-01-05 05:00:00+00:00,15.98,62,990.76,9482,151522.36000000002,buy
2024-01-12 05:00:00+00:00,16.76,59,988.8400000000001,9541,159907.16,buy
2024-01-19 05:00:00+00:00,16.78,59,990.0200000000001,9600,161088.0,buy
2024-01-26 05:00:00+00:00,16.35,61,997.3500000000001,9661,157957.35,buy
2024-02-02 05:00:00+00:00,17.02,58,987.16,9719,165417.38,buy
2024-02-09 05:00:00+00:00,24.38,41,999.5799999999999,9760,237948.8,buy
2024-02-16 05:00:00+00:00,24.44,40,977.6,9800,239512.0,buy
2024-02-23 05:00:00+00:00,22.97,43,987.7099999999999,9843,226093.71,buy
2024-03-01 05:00:00+00:00,24.93,40,997.2,9883,246383.19,buy
